sweep_index,cohort_id,new_contig,new_focus_pstart,new_focus_pstop,overlapping_genes
31,GH-EP_New-Juaben_gamb_2012_Q4,2L,20487697,20838482,AGAP005775 AGAP005776 AGAP005778 AGAP005781 AGAP005782 AGAP005786 AGAP005787 AGAP005790 AGAP005791 AGAP005792 AGAP028396 AGAP005793 AGAP005785 AGAP005783 AGAP005777 AGAP005789 AGAP005788 AGAP029526 AGAP005784
32,CM-ES_Haut-Nyong_gamb_2009_Q3,2L,20591561,20945100,AGAP005786 AGAP005787 AGAP005790 AGAP005791 AGAP005792 AGAP028396 AGAP005793 AGAP005785 AGAP005795 AGAP005789 AGAP005794 AGAP005788
33,CM-ES_Haut-Nyong_gamb_2009_Q3,2L,22608742,22634643,AGAP005852 AGAP005853 AGAP005854 AGAP005856 AGAP028450 AGAP005855
34,CD-NU_Gbadolite_gamb_2015_Q3,2L,22623258,22648261,AGAP005856 AGAP005857 AGAP005859 AGAP005860 AGAP005861 AGAP005862 AGAP005858
35,UG-W_Kanungu_gamb_2012_Q4,2L,22623466,22648477,AGAP005856 AGAP005857 AGAP005859 AGAP005860 AGAP005861 AGAP005862 AGAP005858
36,CF-BGF_Bangui_gamb_1994_Q1,2L,25369356,25543844,AGAP006029 AGAP006031 AGAP006032 AGAP006033 AGAP006035 AGAP006036 AGAP006037 AGAP006039 AGAP006030 AGAP006034
37,CM-ES_Lom-Et-Djérem_gamb_2009_Q3,2L,25406029,25526328,AGAP006029 AGAP006031 AGAP006032 AGAP006033 AGAP006035 AGAP006036 AGAP006037 AGAP006030 AGAP006034
38,BF-09_Houet_gamb_2014_Q3,2L,25413525,25472900,AGAP006029 AGAP006031 AGAP006032 AGAP006033 AGAP006030
39,ML-3_Yanfolila_gamb_2012_Q4,2L,25414827,25478442,AGAP006029 AGAP006031 AGAP006032 AGAP006033 AGAP006030
40,BF-09_Houet_gamb_2012_Q3,2L,25416273,25489969,AGAP006029 AGAP006031 AGAP006032 AGAP006033 AGAP006030 AGAP006034
41,GH-EP_New-Juaben_gamb_2012_Q4,2L,25419279,25507388,AGAP006029 AGAP006031 AGAP006032 AGAP006033 AGAP006030 AGAP006034
42,GN-N_Macenta_gamb_2012_Q4,2L,25446377,25632015,AGAP006029 AGAP006031 AGAP006032 AGAP006033 AGAP006035 AGAP006036 AGAP006037 AGAP006039 AGAP006040 AGAP029130 AGAP029102 AGAP006030 AGAP006041 AGAP006038 AGAP006045 AGAP006042 AGAP006034
43,GN-F_Kissidougou_gamb_2012_Q4,2L,25469985,25654468,AGAP006035 AGAP006036 AGAP006037 AGAP006039 AGAP006040 AGAP006046 AGAP006047 AGAP006051 AGAP029130 AGAP029102 AGAP006041 AGAP006048 AGAP006050 AGAP006038 AGAP006049 AGAP006045 AGAP006042
44,ML-2_Kati_gamb_2014_Q3,2L,25501830,25633520,AGAP006035 AGAP006036 AGAP006037 AGAP006039 AGAP006040 AGAP006046 AGAP029130 AGAP029102 AGAP006041 AGAP006038 AGAP006045 AGAP006042
45,ML-2_Kangaba_gamb_2004_Q3,2L,25536881,25641901,AGAP006040 AGAP006046 AGAP006047 AGAP029130 AGAP029102 AGAP006041 AGAP006048 AGAP006049 AGAP006045 AGAP006042
46,CM-ES_Haut-Nyong_gamb_2009_Q3,2L,25876857,26562511,AGAP006060 AGAP006061 AGAP006062 AGAP006063 AGAP006065 AGAP006068 AGAP006069 AGAP006070 AGAP006071 AGAP006076 AGAP006080 AGAP006084 AGAP006085 AGAP006090 AGAP006087 AGAP006073 AGAP006064 AGAP006086 AGAP006081 AGAP006088 AGAP006077 AGAP006072 AGAP006079 AGAP006074 AGAP006078 AGAP006083 AGAP006075 AGAP028607 AGAP006089 AGAP029848 AGAP006082
47,CD-NU_Gbadolite_gamb_2015_Q3,2L,26694378,26841452,AGAP028398 AGAP006108 AGAP006111 AGAP006109 AGAP029446
48,CM-ES_Haut-Nyong_gamb_2009_Q3,2L,28232043,28585597,AGAP006204 AGAP006209 AGAP006210 AGAP006214 AGAP006225 AGAP006226 AGAP006228 AGAP006229 AGAP006232 AGAP006234 AGAP006235 AGAP006236 AGAP006238 AGAP006239 AGAP028453 AGAP006215 AGAP006219 AGAP006231 AGAP029691 AGAP006240 AGAP006227 AGAP006207 AGAP006223 AGAP006233 AGAP029478 AGAP006224 AGAP006205 AGAP029692 AGAP006216 AGAP006208 AGAP006220 AGAP006222 AGAP006237 AGAP029541 AGAP006221
49,CM-ES_Lom-Et-Djérem_gamb_2009_Q3,2L,28352652,28706205,AGAP006214 AGAP006225 AGAP006226 AGAP006228 AGAP006229 AGAP006232 AGAP006234 AGAP006235 AGAP006236 AGAP006238 AGAP006239 AGAP006241 AGAP006242 AGAP006244 AGAP006245 AGAP006246 AGAP006247 AGAP006248 AGAP006249 AGAP006250 AGAP006252 AGAP006253 AGAP006254 AGAP006256 AGAP006258 AGAP028399 AGAP028453 AGAP028454 AGAP029069 AGAP006215 AGAP006219 AGAP006231 AGAP006257 AGAP006243 AGAP006240 AGAP006227 AGAP006223 AGAP006233 AGAP029478 AGAP006224 AGAP006216 AGAP006220 AGAP006222 AGAP006237 AGAP006221 AGAP006255 AGAP006251
50,BF-09_Houet_gamb_2014_Q3,2L,28354078,28570689,AGAP006214 AGAP006225 AGAP006226 AGAP006228 AGAP006229 AGAP006232 AGAP006234 AGAP028453 AGAP006215 AGAP006219 AGAP006231 AGAP006227 AGAP006223 AGAP006233 AGAP029478 AGAP006224 AGAP006216 AGAP006220 AGAP006222 AGAP006221
51,ML-3_Yanfolila_gamb_2012_Q4,2L,28381907,28629833,AGAP006214 AGAP006225 AGAP006226 AGAP006228 AGAP006229 AGAP006232 AGAP006234 AGAP006235 AGAP006236 AGAP006238 AGAP006239 AGAP006241 AGAP006242 AGAP006244 AGAP006245 AGAP006246 AGAP006247 AGAP006248 AGAP006249 AGAP006250 AGAP006252 AGAP006253 AGAP028453 AGAP029069 AGAP006215 AGAP006219 AGAP006231 AGAP006243 AGAP006240 AGAP006227 AGAP006223 AGAP006233 AGAP029478 AGAP006224 AGAP006216 AGAP006220 AGAP006222 AGAP006237 AGAP006221 AGAP006251
52,GN-N_Macenta_gamb_2012_Q4,2L,28419847,28646089,AGAP006214 AGAP006225 AGAP006226 AGAP006228 AGAP006229 AGAP006232 AGAP006234 AGAP006235 AGAP006236 AGAP006238 AGAP006239 AGAP006241 AGAP006242 AGAP006244 AGAP006245 AGAP006246 AGAP006247 AGAP006248 AGAP006249 AGAP006250 AGAP006252 AGAP006253 AGAP006254 AGAP028453 AGAP029069 AGAP006215 AGAP006219 AGAP006231 AGAP006243 AGAP006240 AGAP006227 AGAP006223 AGAP006233 AGAP029478 AGAP006224 AGAP006216 AGAP006220 AGAP006222 AGAP006237 AGAP006221 AGAP006251
53,BF-09_Houet_gamb_2012_Q3,2L,28435324,28635464,AGAP006214 AGAP006225 AGAP006226 AGAP006228 AGAP006229 AGAP006232 AGAP006234 AGAP006235 AGAP006236 AGAP006238 AGAP006239 AGAP006241 AGAP006242 AGAP006244 AGAP006245 AGAP006246 AGAP006247 AGAP006248 AGAP006249 AGAP006250 AGAP006252 AGAP006253 AGAP028453 AGAP029069 AGAP006215 AGAP006219 AGAP006231 AGAP006243 AGAP006240 AGAP006227 AGAP006223 AGAP006233 AGAP029478 AGAP006224 AGAP006216 AGAP006220 AGAP006222 AGAP006237 AGAP006221 AGAP006251
54,GN-F_Kissidougou_gamb_2012_Q4,2L,28437332,28681101,AGAP006214 AGAP006225 AGAP006226 AGAP006228 AGAP006229 AGAP006232 AGAP006234 AGAP006235 AGAP006236 AGAP006238 AGAP006239 AGAP006241 AGAP006242 AGAP006244 AGAP006245 AGAP006246 AGAP006247 AGAP006248 AGAP006249 AGAP006250 AGAP006252 AGAP006253 AGAP006254 AGAP006256 AGAP028399 AGAP028453 AGAP029069 AGAP006215 AGAP006219 AGAP006231 AGAP006243 AGAP006240 AGAP006227 AGAP006223 AGAP006233 AGAP029478 AGAP006224 AGAP006216 AGAP006220 AGAP006222 AGAP006237 AGAP006221 AGAP006255 AGAP006251
55,GH-EP_New-Juaben_gamb_2012_Q4,2L,28501063,28646430,AGAP006225 AGAP006226 AGAP006228 AGAP006229 AGAP006232 AGAP006234 AGAP006235 AGAP006236 AGAP006238 AGAP006239 AGAP006241 AGAP006242 AGAP006244 AGAP006245 AGAP006246 AGAP006247 AGAP006248 AGAP006249 AGAP006250 AGAP006252 AGAP006253 AGAP006254 AGAP029069 AGAP006219 AGAP006231 AGAP006243 AGAP006240 AGAP006227 AGAP006223 AGAP006233 AGAP006224 AGAP006220 AGAP006222 AGAP006237 AGAP006221 AGAP006251
56,ML-2_Kati_gamb_2014_Q3,2L,28542035,28722681,AGAP006228 AGAP006229 AGAP006232 AGAP006234 AGAP006235 AGAP006236 AGAP006238 AGAP006239 AGAP006241 AGAP006242 AGAP006244 AGAP006245 AGAP006246 AGAP006247 AGAP006248 AGAP006249 AGAP006250 AGAP006252 AGAP006253 AGAP006254 AGAP006256 AGAP006258 AGAP006259 AGAP028399 AGAP028454 AGAP029069 AGAP006231 AGAP006257 AGAP006243 AGAP006240 AGAP006227 AGAP006233 AGAP006237 AGAP006255 AGAP006251
57,CF-BGF_Bangui_gamb_1994_Q1,2L,28650032,28781959,AGAP006256 AGAP006258 AGAP006259 AGAP006260 AGAP006261 AGAP006263 AGAP028399 AGAP028454 AGAP006257 AGAP006262
58,GN-F_Kissidougou_gamb_2012_Q4,2L,32357250,32382350,AGAP006458 AGAP006459 AGAP029224
59,GN-N_Macenta_gamb_2012_Q4,2L,32360667,32398732,AGAP006459 AGAP029224
60,CM-ES_Haut-Nyong_gamb_2009_Q3,2L,33127272,33834378,AGAP006504 AGAP006505 AGAP006506 AGAP006508 AGAP006509 AGAP006518 AGAP006520 AGAP006521 AGAP006507 AGAP006519 AGAP006517 AGAP006511 AGAP006514 AGAP006510 AGAP029898 AGAP029629
61,UG-W_Kanungu_gamb_2012_Q4,2L,33956335,34133685,AGAP006539 AGAP006542 AGAP006543 AGAP006547 AGAP006548 AGAP006550 AGAP006551 AGAP006552 AGAP006553 AGAP006554 AGAP006555 AGAP006556 AGAP006557 AGAP006558 AGAP006546 AGAP006538 AGAP006541 AGAP006535 AGAP006549 AGAP028608 AGAP006540 AGAP006536 AGAP006537
62,CM-ES_Lom-Et-Djérem_gamb_2009_Q3,2L,33982641,34228452,AGAP006539 AGAP006542 AGAP006543 AGAP006547 AGAP006548 AGAP006550 AGAP006551 AGAP006552 AGAP006553 AGAP006554 AGAP006555 AGAP006556 AGAP006557 AGAP006558 AGAP006559 AGAP006560 AGAP006561 AGAP006562 AGAP006563 AGAP006564 AGAP006566 AGAP006568 AGAP006570 AGAP006572 AGAP006573 AGAP006574 AGAP006575 AGAP006576 AGAP006577 AGAP028429 AGAP006569 AGAP006546 AGAP006538 AGAP006571 AGAP006541 AGAP006549 AGAP028608 AGAP006540 AGAP006536 AGAP029823 AGAP029822 AGAP028428 AGAP006537
63,UG-E_Tororo_gamb_2012_Q4,2L,34060553,34168419,AGAP006539 AGAP006542 AGAP006543 AGAP006547 AGAP006548 AGAP006550 AGAP006551 AGAP006552 AGAP006553 AGAP006554 AGAP006555 AGAP006556 AGAP006557 AGAP006558 AGAP006559 AGAP006560 AGAP006561 AGAP006562 AGAP006563 AGAP006564 AGAP006566 AGAP006568 AGAP028429 AGAP006569 AGAP006546 AGAP006541 AGAP006549 AGAP028608 AGAP029823 AGAP029822 AGAP028428
64,CF-BGF_Bangui_gamb_1994_Q1,2L,37089026,37114400,AGAP006703 AGAP006704 AGAP006706 AGAP006705
65,BF-09_Houet_gamb_2012_Q3,2L,37318807,37397979,AGAP029693 AGAP029697 AGAP029698 AGAP029695 AGAP029694
66,ML-2_Kangaba_gamb_2004_Q3,2L,39243664,39269551,
67,CM-ES_Lom-Et-Djérem_gamb_2009_Q3,2L,39260363,39285500,AGAP006868 AGAP006869 AGAP006870
68,CD-NU_Gbadolite_gamb_2015_Q3,2L,39269415,39295366,AGAP006869 AGAP006870 AGAP006871 AGAP029844
69,CF-BGF_Bangui_gamb_1994_Q1,2L,39278757,39304964,AGAP006870 AGAP006871 AGAP006872 AGAP029844 AGAP029858
70,GN-F_Kissidougou_gamb_2012_Q4,2L,39278865,39307149,AGAP006870 AGAP006871 AGAP006872 AGAP029844 AGAP029858
71,CM-ES_Haut-Nyong_gamb_2009_Q3,2L,39280312,39306829,AGAP006870 AGAP006871 AGAP006872 AGAP029844 AGAP029858
72,GN-N_Macenta_gamb_2012_Q4,2L,39283061,39309578,AGAP006871 AGAP006873 AGAP006872 AGAP029844 AGAP029858
73,UG-W_Kanungu_gamb_2012_Q4,2L,42138326,42339538,AGAP007066 AGAP007070 AGAP007071 AGAP007072 AGAP007073 AGAP007074 AGAP007075 AGAP007077 AGAP007078 AGAP007081 AGAP007082 AGAP007084 AGAP007069 AGAP007068 AGAP007080 AGAP007076 AGAP007083 AGAP007079 AGAP007085
74,CM-ES_Lom-Et-Djérem_gamb_2009_Q3,2L,42373904,42419156,AGAP007087 AGAP007088
75,BF-09_Houet_gamb_2012_Q3,2L,42450985,42494812,
76,ML-3_Yanfolila_gamb_2012_Q4,2L,42487672,42519650,
77,UG-E_Tororo_gamb_2012_Q4,2L,42752258,42807621,AGAP007105 AGAP007104
78,GN-N_Macenta_gamb_2012_Q4,2L,45979633,46004662,AGAP007346 AGAP007347 AGAP007351 AGAP007352 AGAP007350 AGAP007349
79,BF-09_Houet_gamb_2012_Q3,2L,45984579,46012287,AGAP007351 AGAP007352 AGAP007350 AGAP007354 AGAP007353 AGAP007349
80,ML-3_Yanfolila_gamb_2012_Q4,2R,3027447,3376144,AGAP001328 AGAP001329 AGAP001330 AGAP001331 AGAP001335 AGAP001340 AGAP001341 AGAP001345 AGAP001342 AGAP001336 AGAP001334 AGAP001333 AGAP001332 AGAP028467 AGAP001338 AGAP001337 AGAP001343 AGAP001339
81,ML-2_Kati_gamb_2014_Q3,2R,3229249,3358883,AGAP001335 AGAP001340 AGAP001341 AGAP001342 AGAP001336 AGAP001334 AGAP001333 AGAP001332 AGAP028467 AGAP001338 AGAP001337 AGAP001343 AGAP001339
82,GN-N_Macenta_gamb_2012_Q4,2R,3281349,3421850,AGAP001340 AGAP001341 AGAP001345 AGAP001346 AGAP001347 AGAP001349 AGAP001342 AGAP001336 AGAP001344 AGAP001338 AGAP001337 AGAP001343 AGAP001339 AGAP001348
83,GH-EP_New-Juaben_gamb_2012_Q4,2R,3305240,3587651,AGAP001340 AGAP001341 AGAP001345 AGAP001346 AGAP001347 AGAP001355 AGAP001354 AGAP001353 AGAP001352 AGAP001349 AGAP001342 AGAP001357 AGAP001360 AGAP001362 AGAP001364 AGAP001361 AGAP001365 AGAP001344 AGAP001338 AGAP001358 AGAP001363 AGAP001337 AGAP001356 AGAP001343 AGAP029603 AGAP001339 AGAP001348
84,BF-09_Houet_gamb_2014_Q3,2R,3320515,3504494,AGAP001340 AGAP001341 AGAP001345 AGAP001346 AGAP001347 AGAP001355 AGAP001354 AGAP001353 AGAP001352 AGAP001349 AGAP001342 AGAP001357 AGAP001344 AGAP001356 AGAP001343 AGAP029603 AGAP001348
85,BF-09_Houet_gamb_2012_Q3,2R,3323883,3391441,AGAP001341 AGAP001345 AGAP001346 AGAP001347 AGAP001342 AGAP001344 AGAP001343
86,GH-EP_New-Juaben_gamb_2012_Q4,2R,8601919,8713989,AGAP001694
87,UG-W_Kanungu_gamb_2012_Q4,2R,9748581,9821485,
88,CM-ES_Haut-Nyong_gamb_2009_Q3,2R,12948453,12974120,AGAP001964
89,UG-W_Kanungu_gamb_2012_Q4,2R,17311011,17337528,AGAP002189 AGAP002190 AGAP002191 AGAP002188
90,ML-2_Kangaba_gamb_2004_Q3,2R,19047751,19074315,AGAP002306 AGAP002307 AGAP002309 AGAP002308 AGAP002305
91,CD-NU_Gbadolite_gamb_2015_Q3,2R,19048250,19073753,AGAP002306 AGAP002307 AGAP002309 AGAP002308 AGAP002305
92,BF-09_Houet_gamb_2014_Q3,2R,19116351,19262502,AGAP002313 AGAP002314 AGAP002312
93,ML-2_Kati_gamb_2014_Q3,2R,19122783,19178806,
94,CM-ES_Lom-Et-Djérem_gamb_2009_Q3,2R,19280351,19416152,
95,UG-W_Kanungu_gamb_2012_Q4,2R,28373806,28553041,AGAP002867 AGAP002866 AGAP002865 AGAP002864 AGAP002863 AGAP013128 AGAP002862 AGAP002868 AGAP000586 AGAP002872 AGAP013202 AGAP002870 AGAP002869 AGAP029190 AGAP002874 AGAP002859
96,ML-2_Kati_gamb_2014_Q3,2R,28376394,28498302,AGAP002866 AGAP002865 AGAP002864 AGAP002863 AGAP013128 AGAP002862
97,CM-ES_Lom-Et-Djérem_gamb_2009_Q3,2R,28407606,28602998,AGAP002867 AGAP002866 AGAP002865 AGAP002864 AGAP002863 AGAP013128 AGAP002862 AGAP002868 AGAP000586 AGAP002875 AGAP002877 AGAP002880 AGAP002879 AGAP002878 AGAP002876 AGAP013244 AGAP002872 AGAP013202 AGAP002870 AGAP002869 AGAP029190 AGAP002874
98,GH-EP_New-Juaben_gamb_2012_Q4,2R,28411345,28495874,AGAP002866 AGAP002865 AGAP002864 AGAP002863 AGAP013128 AGAP002862
